YearMonth,num_headlines,Top_Category,category %,Negative %,Neutral %,Positive %,Dominant_Sentiment,Inflation %,USD/TZS_Rate,Rate_Change_%
2022-01,43,General,37.21,16.28,62.79,20.93,Neutral,3.997044423844387,2303.3809523809523,0.0
2022-02,33,General,24.24,9.09,60.61,30.3,Neutral,3.6735813194424423,2308.8,0.23526493146721617
2022-03,45,General,35.56,8.89,71.11,20.0,Neutral,3.5523671710834925,2312.5652173913045,0.16308114134200302
2022-04,41,General,24.39,17.07,46.34,36.59,Neutral,3.783245850918937,2317.7619047619046,0.22471527857979012
2022-05,44,General,22.73,15.91,40.91,43.18,Positive,4.026812085982612,2320.818181818182,0.13186328802790026
2022-06,60,Banking,20.0,8.33,70.0,21.67,Neutral,4.436698099784819,2326.090909090909,0.22719260448900158
2022-07,56,General,32.14,3.57,78.57,17.86,Neutral,4.5374990509845725,2327.0,0.03908234650409348
2022-08,96,General,28.12,6.25,73.96,19.79,Neutral,4.649160538109398,2326.695652173913,-0.0130789783449492
2022-09,176,General,21.59,7.95,69.89,22.16,Neutral,4.839360260234615,2326.318181818182,-0.016223452146757467
2022-10,186,Agriculture,24.19,8.6,71.51,19.89,Neutral,4.9422496334237564,2326.5238095238096,0.008839190925580276
2022-11,150,General,33.33,6.0,77.33,16.67,Neutral,4.8788649572730325,2326.818181818182,0.012652881228514268
2022-12,148,General,27.03,14.86,67.57,17.57,Neutral,4.842713781268393,2328.0454545454545,0.05274467669464933
2023-01,160,General,28.75,8.75,69.38,21.88,Neutral,4.941069271691112,2331.5,0.1483882304703643
2023-02,133,General,23.31,6.82,57.58,35.61,Neutral,4.777182347150166,2334.25,0.11794981771391377
2023-03,154,General,22.08,4.55,64.94,30.52,Neutral,4.7073497564106725,2335.086956521739,0.035855479136293056
2023-04,81,General,23.46,7.41,46.91,45.68,Neutral,4.319197754401838,2341.0,0.2532258364831508
2023-05,115,Banking,26.09,9.57,60.0,30.43,Neutral,3.9655169718367578,2352.913043478261,0.5088869490927461
2023-06,137,General,22.63,6.57,67.15,26.28,Neutral,3.5651235186964003,2383.8636363636365,1.3154159254275655
2023-07,132,General,27.27,6.06,74.24,19.7,Neutral,3.318709579798851,2438.809523809524,2.3049089976347137
2023-08,116,Banking,25.0,12.93,60.34,26.72,Neutral,3.33778489328902,2488.3217391304347,2.030179677319399
2023-09,143,Agriculture,25.17,3.5,71.33,25.17,Neutral,3.3293763179990776,2500.6666666666665,0.49611460375480476
2023-10,139,Banking,21.58,6.47,68.35,25.18,Neutral,3.1698353082902475,2500.909090909091,0.00969438452778082
2023-11,127,General,33.86,5.56,68.25,26.19,Neutral,3.2219852960810424,2498.090909090909,-0.11268629589240575
2023-12,99,General,26.26,8.08,69.7,22.22,Neutral,3.031404379435143,2506.7366666666667,0.34609459344712157
2024-01,88,General,26.14,14.77,59.09,26.14,Neutral,2.95991966862994,2518.2652173913043,0.45990274439029477
2024-02,117,General,28.21,3.42,72.65,23.93,Neutral,3.028732947088386,2540.4285714285716,0.8801040448085384
2024-03,93,Banking,19.35,5.38,58.06,36.56,Neutral,3.0166409861265286,2548.6190476190477,0.3224052934450494
2024-04,69,Banking,24.64,8.7,57.97,33.33,Neutral,3.126488350131984,2579.9545454545455,1.2295088928559794
2024-05,98,General,25.51,6.12,64.29,29.59,Neutral,3.071539799611389,2590.0,0.3893655631705961
2024-06,93,General,25.81,2.15,69.89,27.96,Neutral,3.091973138457416,2614.05,0.9285714285714342
2024-07,129,Banking,22.48,3.88,69.77,26.36,Neutral,2.9937482459070357,2666.2608695652175,1.9973171731687334
2024-08,149,Banking,22.82,5.37,71.14,23.49,Neutral,3.146502784692662,2703.031818181818,1.3791204392763268
2024-09,113,General,22.12,5.31,55.75,38.94,Neutral,3.1434429945987,2720.2595238095237,0.6373474966822279
2024-10,121,Agriculture,18.18,7.44,70.25,22.31,Neutral,2.999717051201856,2713.478260869565,-0.24928735220314246
2024-11,92,General,21.74,8.7,67.39,23.91,Neutral,2.9969813418943003,2655.714285714286,-2.1287797285233445
