date,headline,category,sentiment
2023-12-27,Why cement prices are high despite surplus production,General,Negative
2023-12-27,Empowerment drive to benefit small enterprises,General,Neutral
2023-12-25,Tanzania gets nod to expand spectrum for faster internet,General,Neutral
2023-12-19,Tanzania crafting policies for young innovators,General,Neutral
2023-12-19,"Samia pledges action on ETS, dollar woes, power",General,Neutral
2023-12-11,World Bank acts on abuse claims in Tanzania park project,General,Neutral
2023-12-11,Empowering Indigenous Communities for Collaborative Prosperity amid COP28 Discussions,General,Neutral
2023-12-06,Airtel Africa calls for stronger public-private collaboration at COP28,General,Neutral
2023-11-30,LuckyDodo unveils AI-poweredbusinessintelligence in Tanzania,General,Neutral
2023-11-27,"New digital app to ease vehicle servicing, repair",General,Neutral
2023-11-27,"NMB named biggest, most compliant taxpayer",General,Neutral
2023-11-23,Businessanalysts urged to embrace emerging technologies,General,Neutral
2023-11-20,"Innovation, research set to benefit from Sh9 billion state funding",General,Neutral
2023-11-17,Facebook advertisers in Tanzania to start paying 18 percent VAT,General,Neutral
2023-11-15,Tanzania’s statistics master plan receives $82 million boost,General,Neutral
2023-11-14,Kenya’s loans 60pc more expensive than Tanzania,General,Negative
2023-11-12,Areas to grow East Africa’s digital economy identified,General,Neutral
2023-11-08,Obstacles as entrepreneurs explore digital economy,General,Neutral
2023-11-06,Investors decry costs of standards approval,General,Negative
2023-10-26,How digital transformation is reshaping education financing at HESLB,General,Neutral
2023-10-23,Extractive sector’s role in tackling climate change,General,Neutral
2023-10-19,Food vendors' digital registration underway,General,Neutral
2023-10-17,Private health providers in Dar es Salaam complain of delayed NHIF payments,General,Negative
2023-10-16,Global recovery revs up domestic manufacturing,General,Positive
2023-10-14,Tanzania's first locally-assembled aircraft unveiled,General,Neutral
2023-10-10,Tanzania takes a step closer to oil discovery,General,Neutral
2023-10-09,Tanzania now focuses on geophysical research,General,Neutral
2023-10-02,How local content can stem illicit financial flows,General,Neutral
2023-09-29,Tanzania mining practices impress Ugandan experts,General,Neutral
2023-09-25,Tanzania to construct Sh18 billion information centre to promote tourism in southern circuit,General,Neutral
