date,headline,category,sentiment
2024-01-01,Tanzania moves to bring down soaring sugar prices,Agriculture,Neutral
2023-12-30,TRC receives new locomotives and passenger cars,Transport,Neutral
2023-12-30,Tanzania forecasts Sh22.5 trillion PPP boom by 2025,Investment,Positive
2023-12-28,Tanzanians count down the days before SGR services commence,Transport,Neutral
2023-12-27,Why cement prices are high despite surplus production,General,Negative
2023-12-27,Empowerment drive to benefit small enterprises,General,Neutral
2023-12-27,Boost for Rombo dairy industry as milk processing plant,Agriculture,Neutral
2023-12-27,NBC Bank completes installment of POS machine on Mt Kilimanjaro summit,Banking,Neutral
2023-12-27,How tax reforms can be a game changer for Arusha firms,Policy,Neutral
2023-12-25,Tanzania gets nod to expand spectrum for faster internet,General,Neutral
2023-12-25,"No blackouts during Christmas, New Year, says Tanesco",Energy,Neutral
2023-12-22,EXCLUSIVE: WB chief lauds economic growth but calls for key reforms,Policy,Neutral
2023-12-21,Strategis Insurance ends year in style,Banking,Neutral
2023-12-21,New transport investment roadmap mulled,Investment,Neutral
2023-12-21,"2023 growth on track to surpass 5 percent, says central bank",Policy,Neutral
2023-12-21,Samia dissolves Tanesco’s board as power rationing persists,Energy,Negative
2023-12-20,Fitch affirms Tanzania at B+ rating with positive outlook,Policy,Neutral
2023-12-20,World Bank tips Tanzania on inclusive economic growth,Policy,Neutral
2023-12-19,Tanzania crafting policies for young innovators,General,Neutral
2023-12-19,World Bank report calls for reforms to promote inclusive growth,Policy,Neutral
2023-12-19,"Samia pledges action on ETS, dollar woes, power",General,Neutral
2023-12-18,Government: These are areas to invest in agriculture,Agriculture,Neutral
2023-12-18,Mombasa benefits as Dar port deals with congestion,Trade,Neutral
2023-12-17,"Tanzania, Rwanda picked for clean energy pilot",Energy,Neutral
2023-12-16,Government sets goals to boost tea industry in Tanzania,Agriculture,Neutral
2023-12-15,IMF proposes 3 steps to address Tanzania’s forex woes,Policy,Neutral
2023-12-13,Tanzanian govt urges cement firms to explore AfCFTA market,Trade,Neutral
2023-12-13,Tanzania in new push against counterfeit goods,Trade,Neutral
2023-12-13,SBL joins the league of elite firms seeking sustainability,Banking,Neutral
2023-12-12,Government transfers Kurasini land to Dar port,Trade,Neutral
2023-12-11,World Bank acts on abuse claims in Tanzania park project,General,Neutral
2023-12-11,Empowering Indigenous Communities for Collaborative Prosperity amid COP28 Discussions,General,Neutral
2023-12-10,"Green-gold initiative aims to mitigate climate change, uplift farmers",Agriculture,Neutral
2023-12-08,Tanzanian minister elected chairperson of AfCFTA council of ministers,Trade,Neutral
2023-12-08,Tanzania’s insurance industry grows by 26.7 percent,Banking,Positive
2023-12-08,CRDB Bank accepts American Express cards,Banking,Neutral
2023-12-08,"Brela, PCCB sign deal to speed up fraud investigations",Banking,Neutral
2023-12-06,Airtel Africa calls for stronger public-private collaboration at COP28,General,Neutral
2023-12-06,Korean firm completes $5 million cashew processing factory,Investment,Positive
2023-12-05,Absa ushers in a cashless era for Tanzanian businesses,Banking,Neutral
2023-12-01,Autodesk Training Center to start operations in Tanzania by January 2024,Investment,Neutral
2023-11-30,LuckyDodo unveils AI-poweredbusinessintelligence in Tanzania,General,Neutral
2023-11-28,"Energy firms offer sugarcane, cassava growers market opportunity",Agriculture,Neutral
2023-11-27,Barrick’s tips on mining sector opportunities,Investment,Neutral
2023-11-27,"New digital app to ease vehicle servicing, repair",General,Neutral
2023-11-27,"NMB named biggest, most compliant taxpayer",General,Neutral
2023-11-23,Ethanol key to unlocking alternative forms of energy,Energy,Neutral
2023-11-23,Businessanalysts urged to embrace emerging technologies,General,Neutral
2023-11-23,Reasons French firms want to invest in Tanzania,Investment,Positive
2023-11-23,Want handsome returns? Put your money in these eight areas,Investment,Neutral
2023-11-21,India encourages trade in local currencies with Tanzania,Trade,Neutral
2023-11-20,TPC to invest over Sh112 billion in molasses factory,Investment,Positive
2023-11-20,"Innovation, research set to benefit from Sh9 billion state funding",General,Neutral
2023-11-20,Women-owned SMEs get Sh1.8 trillion in NMB Bank loans,Banking,Neutral
2023-11-20,Mbeya Cement upbeat as Swiss firm sells its 65 perecent stake,Investment,Positive
2023-11-19,888Africa Accelerates Expansion with BetLion Acquisition,Investment,Positive
2023-11-18,Tanzania takes strides towards sustainable cooking solutions to combat climate change,Energy,Neutral
2023-11-17,Facebook advertisers in Tanzania to start paying 18 percent VAT,General,Neutral
2023-11-16,"CRDB Bank, Afreximbank sign strategic deal for $115 million facility",Banking,Neutral
2023-11-15,Tigo launches digital SIM card,Banking,Neutral
2023-11-15,Tanzania’s statistics master plan receives $82 million boost,General,Neutral
2023-11-14,Halotel clinches Consumer Choice Awards Africa for fourth consecutive year,Banking,Neutral
2023-11-14,Kenya’s loans 60pc more expensive than Tanzania,General,Negative
2023-11-12,Areas to grow East Africa’s digital economy identified,General,Neutral
2023-11-10,Will ban on leather imports increase local production?,Trade,Neutral
2023-11-09,Letshego Faidika Bank profit hits Sh1.3 billion,Banking,Positive
2023-11-08,Obstacles as entrepreneurs explore digital economy,General,Neutral
2023-11-08,High costs of air travel in Africa stifle tourism,Energy,Negative
2023-11-07,Repoa proposes reforms to spur economic growth,Policy,Neutral
2023-11-07,Investors snap up bank stocks on good financial results,Banking,Positive
2023-11-06,Investors decry costs of standards approval,General,Negative
2023-11-05,"Tanzania, Mozambique set for natural gas share agreement",Trade,Neutral
2023-11-05,Implications of Uganda’s decision to stop buying fuel from Kenyan firms,Trade,Neutral
2023-11-03,China Railway to negotiate concession for Tazara,Transport,Neutral
2023-11-03,Samia sees swift growth of tourism in Tanzania,Investment,Positive
2023-11-03,Tier-2 banks nearly triple total profit,Banking,Positive
2023-11-02,Biden endorses Agoa extension for Africa,Policy,Neutral
2023-11-01,"Shortage of foreign currency in Tanzania easing, says Report",Forex,Neutral
2023-10-30,"TADB, BoT launch agriculture financing training",Agriculture,Neutral
2023-10-30,NMB Bank eyes new record as quarterly profit soars to Sh569 billion,Banking,Positive
2023-10-29,Hope as Helium drilling enters crucial stage,Energy,Neutral
2023-10-26,Tigo seeks to use advanced tech to boost efficiency and safety in mining sector,Investment,Neutral
2023-10-26,How digital transformation is reshaping education financing at HESLB,General,Neutral
2023-10-26,Boon for retailers as TBL launches development programme,Trade,Neutral
2023-10-26,I&M Bank comes up with collateral-free loans for salaried customers,Banking,Neutral
2023-10-26,Tanzania turns to research to expand mining,Investment,Neutral
2023-10-26,Tanzania to merge 19 state-owned entities into 7,Policy,Neutral
2023-10-24,Mwanga Hakika Bank invests Sh500 million in TMRC,Investment,Neutral
2023-10-24,Tigo Tanzania unveils WhatsApp integration for Tigo Pesa,Banking,Neutral
2023-10-24,Kenya shilling hits 150 against the dollar,Forex,Negative
2023-10-23,Govt challenges filling stations to expand rural network,Energy,Neutral
2023-10-23,Mombasa port set for fresh dredging on Dar rivalry,Trade,Neutral
2023-10-23,Private firm to help Tanzania to reduce coconut cream imports,Trade,Positive
2023-10-23,Extractive sector’s role in tackling climate change,General,Neutral
2023-10-22,"Trade, infrastructure in focus as Samia embarks on Zambia trip",Trade,Neutral
2023-10-21,Farmers unhappy with auction outcome,Agriculture,Negative
2023-10-21,Tanzania trucks held in DR Congo for 44 days over tax dispute,Trade,Negative
2023-10-21,Rostam Aziz meets Zambian President to discuss investment opportunities,Investment,Neutral
2023-10-20,"EABC trains women, youths how to reap from AfCFTA",Trade,Neutral
2023-10-19,Ghanaian alcoholic beverage manufacturer eyes Tanzanian market,Trade,Neutral
2023-10-19,India-Tanzania trade to exceed $7 billion,Trade,Positive
2023-10-19,Food vendors' digital registration underway,General,Neutral
2023-10-17,Private health providers in Dar es Salaam complain of delayed NHIF payments,General,Negative
2023-10-17,Tanzania mulls private rail operators,Transport,Neutral
2023-10-16,"Creditinfo Tanzania, UDSM sign MOU for cooperation",Banking,Neutral
2023-10-16,BoT issues new regulations for bureau de change,Policy,Neutral
2023-10-16,Global recovery revs up domestic manufacturing,General,Positive
2023-10-14,Tanzania's first locally-assembled aircraft unveiled,General,Neutral
2023-10-14,Bus operators push for fare increase as fuel prices soar,Energy,Negative
2023-10-13,Unlocking a prosperous and sustainable Pathway in the mining industry: Introducing the Tanzania Mining & Investment Forum 2023,Investment,Neutral
2023-10-12,Why Central Zone is a magnet for bank loans,Banking,Neutral
2023-10-12,$129 million shipbuilding investment in Kigoma set to boost trade,Trade,Positive
2023-10-12,"CRDB touts its sustainable finance in IMF, WB meets",Banking,Neutral
2023-10-11,"Tanzania targets $15 Billion annual FDI by 2025, says President Samia",Investment,Positive
2023-10-10,Tanzania takes a step closer to oil discovery,General,Neutral
2023-10-09,Tanzania now focuses on geophysical research,General,Neutral
2023-10-08,Tanzania to unlock challenges hindering mining projects,Investment,Neutral
2023-10-07,Solar-powered cold storage a solution to post-harvest loss,Agriculture,Neutral
2023-10-05,Tanzania sees surge in cargo declaration as maritime trade grows,Trade,Neutral
2023-10-05,Why more pain await mortorists at the pump,Energy,Negative
2023-10-05,East Africa sets new record in coffee exports,Trade,Positive
2023-10-04,Absa Bank Tanzania commits to customer service,Banking,Neutral
2023-10-03,Road project to strengthen Tanzania-Malawi economic ties,Transport,Neutral
2023-10-02,How local content can stem illicit financial flows,General,Neutral
2023-09-29,Tanzania mining practices impress Ugandan experts,General,Neutral
2023-09-28,Ngorongoro’s tourism earnings soar to record Sh176 billion in one year,Agriculture,Positive
2023-09-27,Is six months enough to end power woes?,Energy,Neutral
2023-09-26,Telcos agree to inject Sh83.5 billion into national broadband backbone,Investment,Neutral
2023-09-26,Fresh opportunity for investors as NMB floats sustainability bond,Investment,Neutral
2023-09-25,Tanzania to construct Sh18 billion information centre to promote tourism in southern circuit,General,Neutral
2023-09-25,BoT increases gold purchase,Policy,Neutral
2023-09-23,Why EA desert locust control body restructuring is crucial,Agriculture,Neutral
2023-09-23,"Tanesco’s revolving door: Chande out, Hanga in",Energy,Neutral
2023-09-21,Commercial banks’ credit to agriculture posts highest growth rate,Banking,Positive
2023-09-21,CRDB named best Islamic Banking outfit in E. Africa,Banking,Neutral
2023-09-21,Samia reassures investors as she opens $311m glass factory,Investment,Positive
2023-09-21,NCBA in a new corporate financing campaign,Banking,Neutral
2023-09-20,World Bank proposes more taxes for the rich,Policy,Neutral
2023-09-20,Sh266 billion fishing port to change sector’s fortunes,Trade,Positive
2023-09-20,Yara’s new initiative to raise farmers’ income,Agriculture,Positive
2023-09-18,Letshego Faidika Bank unveils new campaign,Banking,Neutral
2023-09-17,"Mercedes-Benz, CFAO Motors pledge to acceleratebusinessefficiency in Tanzania",General,Neutral
2023-09-17,Tanzania ready to embrace smart cities technologies,General,Neutral
2023-09-16,Chinese investors eye Dar commuter train operation,Investment,Neutral
2023-09-13,MCL partners with NMB Bank to launch Rising Woman Online,Banking,Neutral
2023-09-13,Global shocks widen current account deficit,Forex,Negative
2023-09-12,Boss Money enters the Tanzania market,Banking,Neutral
2023-09-11,Mtwara port ranked second in cargo handling,Trade,Positive
2023-09-08,Tanzania secures Sh1 trillion to fund agriculture programmes,Agriculture,Positive
2023-09-08,NMB Bank now third most profitable bank in East Africa,Banking,Positive
2023-09-08,Parliament passes new procurement law to enhance value for money,Policy,Neutral
2023-09-06,Lake Energies moves to boost clean cooking,Energy,Positive
2023-09-05,Tanzania has signed contracts worth Sh17.5 trillion in past 5 years,Investment,Neutral
2023-09-02,Tanzania to export processed cashewnuts from 2026,Trade,Neutral
2023-09-01,BoT officials make on spot check of forex trade at Namanga,Forex,Neutral
2023-08-31,Islamic banking potential stressed as awareness remains a challenge,Banking,Neutral
2023-08-31,Tanzania plans to introduce cable transport in six regions,Transport,Neutral
2023-08-31,Tanzania’s budget financing now at 70 percent,Policy,Neutral
2023-08-31,Businessback on track as MCL rebounds from fire scare,General,Positive
2023-08-31,Fresh Tanzania's berries attract Israel buyers,Trade,Neutral
2023-08-29,France keen to support local start ups,Investment,Neutral
2023-08-29,BRELA moves to educate crop dealers on grain exports regulations,Trade,Neutral
2023-08-29,"Negotiate investment disputes out of court, says TLS President",General,Neutral
2023-08-29,Stamico reveals plan to empower artisanal miners,Investment,Neutral
2023-08-26,AD: Access Bank Plc enters into acquisition agreements with Five Standard Chartered Shareholdings in Africa,Banking,Neutral
2023-08-25,TTCL targets to connect one million homes in Tanzania to the internet by 2027,Investment,Neutral
2023-08-24,What Tanzania must do to reduce carbon emissions,Energy,Neutral
2023-08-23,Why startup owners fail to commercialise operations,General,Neutral
2023-08-22,Trade between India and Tanzania hits $6.4 billion,Trade,Neutral
2023-08-21,Fresh move to curb services trade restrictions in EAC,Trade,Neutral
2023-08-21,Farming shines as July investments hit $427 million,Agriculture,Positive
2023-08-21,Tanzania woos Ugandan traders with free port storage,Trade,Neutral
2023-08-18,Deal gives Tanzania’s graphite mining new push,Investment,Positive
2023-08-17,Tanzanian shilling hits all-time low against dollar,Forex,Negative
2023-08-14,15 banks vanish in five years,Banking,Negative
2023-08-14,"Kenya, Tanzania trade war cuts imports 30 percent",Trade,Negative
2023-08-14,Government injects Sh600 million into renovation of Moshi market,General,Neutral
2023-08-14,Mining set for fresh boom amid increased investment,Investment,Positive
2023-08-13,"Financial inclusion, key priority for NCBA Bank in Zanzibar",Banking,Neutral
2023-08-12,Sh40 billion Watumishi Housing Investments project to address housing challenges,General,Neutral
2023-08-11,How $24 million project can create horticulture millionaires,General,Neutral
2023-08-10,Firms ‘require $747m to clear outstanding fuel payments’,General,Negative
2023-08-03,Why two FCT members struck out appeal on cement firm's merger,Investment,Neutral
2023-08-03,Fuel: Why tougher times beckon,Energy,Negative
2023-08-03,How some community microfinance groups have turned into debt traps,Banking,Negative
2023-08-02,BoA introduces agency banking in new service expansion drive,Banking,Neutral
2023-08-01,Reforms working as Tanesco nets Sh2.3 trillion income,Energy,Positive
2023-07-26,Tanzania witnesses significant advancements in power generation,Energy,Positive
2023-07-25,Indian professionals hail Tanzania's budget,Policy,Neutral
2023-07-24,Petty traders to benefit from TIVA insurance database,Banking,Neutral
2023-07-23,New circus over port deal as Kenya courts Gulf investors,Trade,Neutral
2023-07-22,Why private sector’s investment in pharmaceutical industry is crucial,General,Neutral
2023-07-20,Ewura blames supply systems for ‘reported’ petroleum shortages,Energy,Neutral
2023-07-19,Tanzania’s strategy to reduce unemployment,General,Neutral
2023-07-19,Why some regions lag behind in financial inclusion,General,Neutral
2023-07-18,Fuel firms speak out after Ewura warns 'hoarders',Energy,Negative
2023-07-18,EIB promises investment boost beyond current Sh1.8 trillion,Investment,Positive
2023-07-17,StanChart not exiting entire operations in Tanzania,Banking,Neutral
2023-07-16,"Government, analysts react to StanChart deal",Policy,Neutral
2023-07-16,How Tanzania can boost local content development,General,Neutral
2023-07-14,StanChart enters sale agreement for its retailbusinessin Tanzania,Investment,Positive
2023-07-13,Credit rating: Why you should not default on your debt at will,Policy,Neutral
2023-07-12,Mtetezi Agriculture Insurance set to rebuild farmers confidence,Agriculture,Neutral
2023-07-11,Tanzania and Kenya collect highest taxes on fuel,Energy,Neutral
2023-07-10,DSE turnover down despite improvement in key indices,General,Negative
2023-07-09,What Nickel miner’s listing on New York bourse means,Investment,Neutral
2023-07-07,The East Africa Commercial and Logistics Center Limited to open next year,General,Neutral
2023-07-07,Why tanzanite production in Mirerani is falling,Agriculture,Negative
2023-07-07,Whybusinessis booming in Namanga,General,Positive
2023-07-06,How Mkombozi Commercial Bank strategy yielded Sh6.79 billion profit,Banking,Positive
2023-07-05,Why DSE trading fell sharply in first half of 2023,General,Negative
2023-07-04,Tanzanians in the diaspora urged to take advantage of NSSF investment opportunities,Investment,Neutral
2023-07-04,Government warns against fertiliser smuggling,General,Neutral
2023-07-04,"CFAO opens car dealership in Iringa, Morogoro",Banking,Neutral
2023-07-03,Why digital transformation is crucial for food processors and packagers,General,Neutral
2023-06-30,What interest rate-based monetary policy means,Policy,Neutral
2023-06-28,Microfinance bodies enter renewable energy funding,Banking,Neutral
2023-06-27,Strategis unveils Mtetezi agriculture cover,Agriculture,Neutral
2023-06-27,NBC extends its new digital payment system to Dodoma,Banking,Neutral
2023-06-27,USAID head underscores key role of PPPs in growth,Investment,Neutral
2023-06-26,Parliament approves Sh44.4 trillion budget for 2023/24,Policy,Neutral
2023-06-22,"Kenya, Tanzania electricity line to be launched this year",Energy,Neutral
2023-06-22,Stakeholders commend government plans to launch startup policy,General,Neutral
2023-06-22,Benefits and challenges of Vicoba,General,Neutral
2023-06-22,Two issues take centre stage in Budget debate,Policy,Neutral
2023-06-22,How new $300 million glass factory will save Tanzania billions,General,Positive
2023-06-22,Bank of Africa showers praise on government budget,Policy,Neutral
2023-06-20,How effective use of EFD and rolling out of ETS has boosted revenue collection,General,Positive
2023-06-20,"Government to release 10-year ICT plan, says Nape Nnauye",General,Neutral
