date,headline,url,source,scraped_on
2023-09-15,SBL rolls out empowerment campaign,https://dailynews.co.tz/sbl-rolls-out-empowerment-campaign/,Daily News,2026-05-19
2023-09-14,FCC: Traders double-check goods before importation,https://dailynews.co.tz/fcc-traders-double-check-goods-before-importation/,Daily News,2026-05-19
2023-09-14,TRA campaigns for correct receipts issuance,https://dailynews.co.tz/tra-campaigns-for-correct-receipts-issuance/,Daily News,2026-05-19
2023-09-14,Russian bank to launch cross-border rupee transactions,https://dailynews.co.tz/russian-bank-to-launch-cross-border-rupee-transactions/,Daily News,2026-05-19
2023-09-14,TBS advised to expand operations countrywide,https://dailynews.co.tz/tbs-advised-to-expand-operations-countrywide/,Daily News,2026-05-19
2023-09-14,Govt bids to make Tanzania a top investment destination,https://dailynews.co.tz/govt-bids-to-make-tanzania-a-top-investment-destination/,Daily News,2026-05-19
2023-09-14,Lobby group to unveil organic agriculture national strategy,https://dailynews.co.tz/lobby-group-to-unveil-organic-agriculture-national-strategy/,Daily News,2026-05-19
2023-09-14,"Modern call centre to transform livestock, fishery sector",https://dailynews.co.tz/modern-call-centre-to-transform-livestock-fishery-sector/,Daily News,2026-05-19
2023-09-14,PSSSF comes up with green campaign,https://dailynews.co.tz/psssf-comes-up-with-green-campaign/,Daily News,2026-05-19
2023-09-14,CRDB introduces unique payment for bodaboda insurance,https://dailynews.co.tz/crdb-introduces-unique-payment-for-bodaboda-insurance/,Daily News,2026-05-19
2023-09-14,‘Zanzibaris are duty-bound to demand receipts’,https://dailynews.co.tz/zanzibaris-are-duty-bound-to-demand-receipts/,Daily News,2026-05-19
2023-09-13,NIC demonstrates how culture change spurs profit,https://dailynews.co.tz/nic-demonstrates-how-culture-change-spurs-profit/,Daily News,2026-05-19
2023-09-13,Pineapple prices soar,https://dailynews.co.tz/pineapple-prices-soar/,Daily News,2026-05-19
2023-09-13,Tanga cement narrows Q2 losses to 2.1bn/-,https://dailynews.co.tz/tanga-cement-narrows-q2-losses-to-2-1bn/,Daily News,2026-05-19
2023-09-13,Africa’s Standard Bank stays bullish on Tanzania,https://dailynews.co.tz/africas-standard-bank-stays-bullish-on-tanzania/,Daily News,2026-05-19
2023-09-13,TIC to launch one stop electronic system centre,https://dailynews.co.tz/tic-to-launch-one-stop-electronic-system-centre/,Daily News,2026-05-19
2023-09-13,Transportation undisturbed by fuel prices in Kagera,https://dailynews.co.tz/transportation-undisturbed-by-fuel-prices-in-kagera/,Daily News,2026-05-19
2023-09-12,NMB gains 10pc in 1st week of September,https://dailynews.co.tz/nmb-gains-10pc-in-1st-week-of-september/,Daily News,2026-05-19
2023-09-12,Private sector credit remains stable,https://dailynews.co.tz/private-sector-credit-remains-stable/,Daily News,2026-05-19
2023-09-12,Kigali welcomes Tanzanian billionaire  to invest $100m in companies,https://dailynews.co.tz/kigali-welcomes-tanzanian-billionaire-to-invest-100m-in-companies/,Daily News,2026-05-19
2023-09-12,TEMDO to produce mini-mills  to boost sugar production,https://dailynews.co.tz/temdo-to-produce-mini-mills-to-boost-sugar-production/,Daily News,2026-05-19
2023-09-12,TechnoServe unlocks tourism market for food processors,https://dailynews.co.tz/technoserve-unlocks-tourism-market-for-food-processors/,Daily News,2026-05-19
2023-09-12,MSMEs urged to capitalise on IMBEJU programme,https://dailynews.co.tz/msmes-urged-to-capitalise-on-imbeju-programme/,Daily News,2026-05-19
2023-09-12,BoT licenses Airpay for digital financial services,https://dailynews.co.tz/bot-licenses-airpay-for-digital-financial-services/,Daily News,2026-05-19
2023-09-12,Kagera residents urged to invest in aquaculture,https://dailynews.co.tz/kagera-residents-urged-to-invest-in-aquaculture-2/,Daily News,2026-05-19
2023-09-11,"Coca-cola Kwanza, ISW & Oryx join forces to empower over 480 women food vendors",https://dailynews.co.tz/coca-cola-kwanza-isw-oryx-join-forces-to-empower-over-480-women-food-vendors/,Daily News,2026-05-19
2023-09-11,"TMRC, HFHI agree on house mortgage",https://dailynews.co.tz/tmrc-hfhi-agree-on-house-mortgage/,Daily News,2026-05-19
2023-09-11,Katavi RC woos livestock investors,https://dailynews.co.tz/katavi-rc-woos-livestock-investors/,Daily News,2026-05-19
2023-09-11,TZ-China trade volume significantly increases,https://dailynews.co.tz/tz-china-trade-volume-significantly-increases/,Daily News,2026-05-19
2023-09-11,TEMDO seeks 22bn/- for constructing modern workshop,https://dailynews.co.tz/temdo-seeks-22bn-for-constructing-modern-workshop/,Daily News,2026-05-19
