date,headline,url,source,scraped_on
2023-12-27,Boost for Rombo dairy industry as milk processing plant,https://www.thecitizen.co.tz/tanzania/business/rombo-farmers-get-a-boost-with-new-milk-processing-plant--4475046,The Citizen,2026-05-19
2023-12-27,NBC Bank completes installment of POS machine on Mt Kilimanjaro summit,https://www.thecitizen.co.tz/tanzania/business/nbc-bank-installs-pos-machines-on-mt-kilimanjaro-4475066,The Citizen,2026-05-19
2023-12-27,How tax reforms can be a game changer for Arusha firms,https://www.thecitizen.co.tz/tanzania/business/how-tax-reforms-can-transform-arusha-businesses-4474972,The Citizen,2026-05-19
2023-12-24,Uganda leads East Africa in FDI share,https://www.thecitizen.co.tz/tanzania/business/uganda-leads-east-africa-in-fdi-share-4473666,The Citizen,2026-05-19
2023-12-22,EXCLUSIVE: WB chief lauds economic growth but calls for key reforms,https://www.thecitizen.co.tz/tanzania/business/world-bank-chief-lauds-economic-growth-but-calls-for-key-reforms-4471410,The Citizen,2026-05-19
2023-12-21,New transport investment roadmap mulled,https://www.thecitizen.co.tz/tanzania/business/new-transport-investment-roadmap-mulled-4470558,The Citizen,2026-05-19
2023-12-18,Mombasa benefits as Dar port deals with congestion,https://www.thecitizen.co.tz/tanzania/business/mombasa-benefits-as-dar-port-deals-with-congestion-4468086,The Citizen,2026-05-19
2023-12-17,"Tanzania, Rwanda picked for clean energy pilot",https://www.thecitizen.co.tz/tanzania/business/tanzania-rwanda-picked-for-clean-energy-pilot-4467120,The Citizen,2026-05-19
2023-12-16,Government sets goals to boost tea industry in Tanzania,https://www.thecitizen.co.tz/tanzania/business/government-sets-goals-to-boost-tea-industry-in-tanzania-4466286,The Citizen,2026-05-19
2023-12-12,Are recharge vouchers on the deathbed in Tanzania?,https://www.thecitizen.co.tz/tanzania/business/tanzania-ditches-recharge-vouchers-dances-to-mobile-wallet-beat-4462042,The Citizen,2026-05-19
