YearMonth,num_headlines,Top_Category,category %,Negative %,Neutral %,Positive %,Dominant_Sentiment,Inflation %,USD/TZS_Rate,Rate_Change_%
2022-01,54,Trade,27.78,18.52,37.04,44.44,Positive,3.997044423844387,2303.3809523809523,0.0
2022-02,42,Trade,33.33,4.76,66.67,28.57,Neutral,3.6735813194424423,2308.8,0.23526493146721617
2022-03,53,Policy,26.42,7.55,28.3,64.15,Positive,3.5523671710834925,2312.5652173913045,0.16308114134200302
2022-04,50,Trade,20.0,20.0,42.0,38.0,Neutral,3.783245850918937,2317.7619047619046,0.22471527857979012
2022-05,54,Trade,33.33,9.26,44.44,46.3,Positive,4.026812085982612,2320.818181818182,0.13186328802790026
2022-06,65,Policy,24.62,10.77,47.69,41.54,Neutral,4.436698099784819,2326.090909090909,0.22719260448900158
2022-07,64,Trade,23.44,4.69,56.25,39.06,Neutral,4.5374990509845725,2327.0,0.03908234650409348
2022-08,115,Policy,24.35,8.7,50.43,40.87,Neutral,4.649160538109398,2326.695652173913,-0.0130789783449492
2022-09,230,Trade,20.43,7.39,51.74,40.87,Neutral,4.839360260234615,2326.318181818182,-0.016223452146757467
2022-10,211,Agriculture,25.12,7.58,44.55,47.87,Positive,4.9422496334237564,2326.5238095238096,0.008839190925580276
2022-11,188,Policy,21.28,8.51,45.74,45.74,Neutral,4.8788649572730325,2326.818181818182,0.012652881228514268
2022-12,163,Banking,21.47,14.11,45.4,40.49,Neutral,4.842713781268393,2328.0454545454545,0.05274467669464933
2023-01,198,Trade,27.78,10.1,42.42,47.47,Positive,4.941069271691112,2331.5,0.1483882304703643
2023-02,145,Trade,24.14,7.59,48.97,43.45,Neutral,4.777182347150166,2334.25,0.11794981771391377
2023-03,141,Policy,19.15,4.96,46.1,48.94,Positive,4.7073497564106725,2335.086956521739,0.035855479136293056
2023-04,130,Banking,20.0,10.77,44.62,44.62,Neutral,4.319197754401838,2341.0,0.2532258364831508
2023-05,154,Banking,22.08,6.49,35.06,58.44,Positive,3.9655169718367578,2352.913043478261,0.5088869490927461
2023-06,176,Policy,22.16,9.09,50.0,40.91,Neutral,3.5651235186964003,2383.8636363636365,1.3154159254275655
2023-07,116,Banking,20.69,6.03,58.62,35.34,Neutral,3.318709579798851,2438.809523809524,2.3049089976347137
2023-08,90,Banking,24.44,11.11,45.56,43.33,Neutral,3.33778489328902,2488.3217391304347,2.030179677319399
2023-09,177,Agriculture,30.51,3.95,58.19,37.85,Neutral,3.3293763179990776,2500.6666666666665,0.49611460375480476
2023-10,167,Trade,23.95,4.79,46.11,49.1,Positive,3.1698353082902475,2500.909090909091,0.00969438452778082
2023-11,138,Trade,23.91,5.07,60.87,34.06,Neutral,3.2219852960810424,2498.090909090909,-0.11268629589240575
2023-12,135,Policy,22.96,9.63,52.59,37.78,Neutral,3.031404379435143,2506.7366666666667,0.34609459344712157
2024-01,124,Trade,26.61,16.13,46.77,37.1,Neutral,2.95991966862994,2518.2652173913043,0.45990274439029477
2024-02,195,Trade,22.56,5.64,50.26,44.1,Neutral,3.028732947088386,2540.4285714285716,0.8801040448085384
2024-03,164,Policy,20.12,9.76,35.37,54.88,Positive,3.0166409861265286,2548.6190476190477,0.3224052934450494
2024-04,114,Policy,19.3,13.16,44.74,42.11,Neutral,3.126488350131984,2579.9545454545455,1.2295088928559794
2024-05,185,Policy,18.38,8.65,45.41,45.95,Positive,3.071539799611389,2590.0,0.3893655631705961
2024-06,180,Policy,23.33,7.78,51.67,40.56,Neutral,3.091973138457416,2614.05,0.9285714285714342
2024-07,215,Trade,19.07,5.58,44.65,49.77,Positive,2.9937482459070357,2666.2608695652175,1.9973171731687334
2024-08,231,Trade,21.21,5.63,45.02,49.35,Positive,3.146502784692662,2703.031818181818,1.3791204392763268
2024-09,156,Policy,16.03,5.77,40.38,53.85,Positive,3.1434429945987,2720.2595238095237,0.6373474966822279
2024-10,159,Trade,21.38,7.55,44.65,47.8,Positive,2.999717051201856,2713.478260869565,-0.24928735220314246
2024-11,176,Banking,17.61,7.95,44.89,47.16,Positive,2.9969813418943003,2655.714285714286,-2.1287797285233445
2024-12,140,Policy,21.43,7.86,47.14,45.0,Neutral,3.1,2457.159090909091,-7.476526969533959
