headline,date,source,relevant_groq,relevant_openai,category_groq,category_openai,sentiment_groq,sentiment_openai,disagreement_type,your_relevant,your_category,your_sentiment,notes
Multi-million-dollar flower industry to be revived,2024-01-19,Daily News,True,True,Trade,Investment,Negative,Positive,negative_to_positive,,,,
"Airtel restores internet services, offers bundle refunds",2024-05-16,The Citizen,True,True,Banking,,Negative,Positive,negative_to_positive,,,,
SBL jerks up local hospitality industry professionals to global standards,2024-11-28,Daily News,True,True,Trade,Tourism,Negative,Positive,negative_to_positive,,,,
Why Tanzania must act quickly on its gas wealth,2022-08-03,The Citizen,True,True,Energy,Energy,Negative,Positive,negative_to_positive,,,,
BoT to lessen accommodative monetary policy in December,2022-12-01,Daily News,True,True,Policy,Policy,Negative,Positive,negative_to_positive,,,,
Tanzania to revoke all dormant mining licenses – minister,2023-12-29,Daily News,True,True,Energy,Policy,Negative,Positive,negative_to_positive,,,,
PM tasks NHC to thoroughly scrutinise investors,2022-11-17,Daily News,True,True,Policy,Investment,Negative,Positive,negative_to_positive,,,,
"Goods, services imports decline",2024-08-20,Daily News,True,True,Trade,Trade,Negative,Positive,negative_to_positive,,,,
BoT takes over control of Yetu Microfinance Bank,2022-12-12,The Citizen,True,True,Banking,Banking,Negative,Positive,negative_to_positive,,,,
High beef price pushes up demand for chicken,2024-06-04,Daily News,True,True,Inflation,Agriculture,Negative,Positive,negative_to_positive,,,,
"Imports decline, narrow current account deficit",2024-07-16,Daily News,True,True,Trade,Trade,Negative,Positive,negative_to_positive,,,,
Govt out to curb revenue leakages loopholes,2022-11-17,Daily News,True,True,Policy,Policy,Negative,Positive,negative_to_positive,,,,
Vehicle assembler wants government protection from used imports,2024-07-15,The Citizen,True,True,Trade,Policy,Negative,Positive,negative_to_positive,,,,
BoT urged to improve interbank cash market functioning,2024-06-28,Daily News,True,True,Policy,Policy,Negative,Positive,negative_to_positive,,,,
IMF pinpoints areas to ease forex pressure in Dar,2024-06-27,Daily News,True,True,Forex,Policy,Negative,Positive,negative_to_positive,,,,
Farmers petition for relief in distribution of fertiliser,2023-01-05,The Citizen,True,True,Agriculture,Agriculture,Negative,Positive,negative_to_positive,,,,
Tanzania central bank tells hotels to obtain foreign currency exchange license,2024-03-15,The Citizen,True,True,Forex,Forex,Negative,Positive,negative_to_positive,,,,
