date,headline,url,source,scraped_on
2024-12-31,Redefining personal tax in Tanzania: A path to innovation and inclusion (Part 2),https://dailynews.co.tz/redefining-personal-tax-in-tanzania-a-path-to-innovation-and-inclusion-part-2/,Daily News,2026-06-22
2024-12-31,"Goods, services imports rise by 2.3 per cent",https://dailynews.co.tz/goods-services-imports-rise-by-2-3-per-cent/,Daily News,2026-06-22
2024-12-31,Govt urges Rukwa diaspora to invest at home,https://dailynews.co.tz/govt-urges-rukwa-diaspora-to-invest-at-home/,Daily News,2026-06-22
2024-12-31,Tanzania seeks 7tri/- Chinese FDIs,https://dailynews.co.tz/tanzania-seeks-7tri-chinese-fdis/,Daily News,2026-06-22
2024-12-30,Infobip’s record-breaking RCS interactions signal rising significance,https://dailynews.co.tz/infobips-record-breaking-rcs-interactions-signal-rising-significance/,Daily News,2026-06-22
2024-12-30,Financial services usage rises to 76pc – survey,https://dailynews.co.tz/financial-services-usage-rises-to-76pc-survey/,Daily News,2026-06-22
2024-12-30,Tanga port exceeds revenue collection target,https://dailynews.co.tz/tanga-port-exceeds-revenue-collection-target/,Daily News,2026-06-22
2024-12-30,E-commerce set to thrive,https://dailynews.co.tz/e-commerce-set-to-thrive/,Daily News,2026-06-22
2024-12-29,Saudia and Flyadeal rank top globally for On-Time Performance,https://dailynews.co.tz/saudia-and-flyadeal-rank-top-globally-for-on-time-performance/,Daily News,2026-06-22
2024-12-28,Tanzania secures honey export deal,https://dailynews.co.tz/tanzania-secures-honey-export-deal/,Daily News,2026-06-22
2024-12-27,MOLLIS GROUP: A game changer in marketing African products in the continent,https://dailynews.co.tz/mollis-group-a-game-changer-in-marketing-african-products-in-the-continent/,Daily News,2026-06-22
2024-12-26,Saudia celebrates Arabia’s 2034 FIFA WC Win with exclusive in-flight surprises,https://dailynews.co.tz/saudia-celebrates-arabias-2034-fifa-wc-win-with-exclusive-in-flight-surprises/,Daily News,2026-06-22
2024-12-25,Tanzania investment growth skyrockets,https://dailynews.co.tz/tanzania-investment-growth-skyrockets/,Daily News,2026-06-22
2024-12-25,TBS: Product certification key to sustainable business,https://dailynews.co.tz/tbs-product-certification-key-to-sustainable-business/,Daily News,2026-06-22
2024-12-25,Tanzania invites Saud Arabia to invest in key sectors,https://dailynews.co.tz/tanzania-invites-saud-arabia-to-invest-in-key-sectors/,Daily News,2026-06-22
2024-12-25,NBC sells portion of Twiga bond’s to ALCB Fund,https://dailynews.co.tz/nbc-sells-portion-of-twiga-bonds-to-alcb-fund/,Daily News,2026-06-22
2024-12-25,Agri experts optimistic FSR project will boost production in Zanzibar,https://dailynews.co.tz/agri-experts-optimistic-fsr-project-will-boost-production-in-zanzibar/,Daily News,2026-06-22
2024-12-24,"Rafiki Briquettes: The lifesaver of clean cooking energy, a game-changer for Tanzanians",https://dailynews.co.tz/rafiki-briquettes-the-lifesaver-of-clean-cooking-energy-a-game-changer-for-tanzanians/,Daily News,2026-06-22
2024-12-24,16 international organizations learn organic farming in Morogoro,https://dailynews.co.tz/16-international-organizations-learn-organic-farming-in-morogoro/,Daily News,2026-06-22
2024-12-24,NBC Bank launches 27.2bn/- bond to support Tanzania’s SME sector,https://dailynews.co.tz/nbc-bank-launches-27-2bn-bond-to-support-tanzanias-sme-sector/,Daily News,2026-06-22
2024-12-24,Fed’s gamble: A cut that stirs chaos and uncertainty,https://dailynews.co.tz/feds-gamble-a-cut-that-stirs-chaos-and-uncertainty/,Daily News,2026-06-22
2024-12-24,BoT boosts digital payments at POS terminals,https://dailynews.co.tz/bot-boosts-digital-payments-at-pos-terminals/,Daily News,2026-06-22
2024-12-24,Govt approves 600bn/- for Lake Tanganyika cargo ship,https://dailynews.co.tz/govt-approves-600bn-for-lake-tanganyika-cargo-ship/,Daily News,2026-06-22
2024-12-24,Tarime farmers learn coffee husbandry practices in Muleba,https://dailynews.co.tz/tarime-farmers-learn-coffee-husbandry-practices-in-muleba/,Daily News,2026-06-22
2024-12-24,"NMB campaign enhances savings, financial inclusion",https://dailynews.co.tz/nmb-campaign-enhances-savings-financial-inclusion/,Daily News,2026-06-22
2024-12-24,"Expert insights on Tanzania’s personal, business income tax systems",https://dailynews.co.tz/expert-insights-on-tanzanias-personal-business-income-tax-systems/,Daily News,2026-06-22
2024-12-24,DTB’s Steady Growth: Banking on stability and sustainability,https://dailynews.co.tz/dtbs-steady-growth-banking-on-stability-and-sustainability/,Daily News,2026-06-22
2024-12-24,Govt awards 9.8bn/- tenders to special groups,https://dailynews.co.tz/govt-awards-9-8bn-tenders-to-special-groups/,Daily News,2026-06-22
2024-12-24,Food prices soar to record high,https://dailynews.co.tz/food-prices-soar-to-record-high/,Daily News,2026-06-22
2024-12-23,KIA sees surge in passengers amid increased flights,https://dailynews.co.tz/kia-sees-surge-in-passengers-amid-increased-flights/,Daily News,2026-06-22
2024-12-23,TANROADS approves 14.42bn/-  for road maintenance in Mwanza,https://dailynews.co.tz/tanroads-approves-14-42bn-for-road-maintenance-in-mwanza/,Daily News,2026-06-22
2024-12-23,"‘Railway, road crucial to support Tanga port upgrade’",https://dailynews.co.tz/railway-road-crucial-to-support-tanga-port-upgrade/,Daily News,2026-06-22
2024-12-22,Boost for tourism as ship docks at Dar port,https://dailynews.co.tz/boost-for-tourism-as-ship-docks-at-dar-port/,Daily News,2026-06-22
2024-12-21,BoT to launch new customer complaint system,https://dailynews.co.tz/bot-to-launch-new-customer-complaint-system/,Daily News,2026-06-22
2024-12-21,Tibaijuka urges strategic market plan to boost crop sales in Kagera,https://dailynews.co.tz/tibaijuka-urges-strategic-market-plan-to-boost-crop-sales-in-kagera/,Daily News,2026-06-22
2024-12-21,TRA Tanga surpasses tax collection target by 21.95bn/-,https://dailynews.co.tz/tra-tanga-surpasses-tax-collection-target-by-21-95bn/,Daily News,2026-06-22
2024-12-21,Boost for Akkuyu NPP as turbine installation completed,https://dailynews.co.tz/boost-for-akkuyu-npp-as-turbine-installation-completed/,Daily News,2026-06-22
2024-12-20,"TCB, AFCA take Tanzania Coffee Competition global",https://dailynews.co.tz/tcb-afca-take-tanzania-coffee-competition-global/,Daily News,2026-06-22
2024-12-20,BoT: Cashew purchases strained October liquidity,https://dailynews.co.tz/bot-cashew-purchases-strained-october-liquidity/,Daily News,2026-06-22
2024-12-20,"Call for tax system harmonisation, formalisation of businesses",https://dailynews.co.tz/call-for-tax-system-harmonisation-formalisation-of-businesses/,Daily News,2026-06-22
2024-12-20,TPA sees surge in revenues,https://dailynews.co.tz/tpa-sees-surge-in-revenues/,Daily News,2026-06-22
2024-12-19,Massive investments in Tanzania ports drive record cargo growth,https://dailynews.co.tz/massive-investments-in-tanzania-ports-drive-record-cargo-growth/,Daily News,2026-06-22
2024-12-19,New Kibaha factory to boost iron sheet production,https://dailynews.co.tz/new-kibaha-factory-to-boost-iron-sheet-production/,Daily News,2026-06-22
2024-12-19,‘Fitch B+ rating reflects  economic strength’,https://dailynews.co.tz/fitch-b-rating-reflects-economic-strength/,Daily News,2026-06-22
2024-12-18,TRA Commissioner General honors Mati Super Brands Ltd for Tax contribution,https://dailynews.co.tz/tra-commissioner-general-honors-mati-super-brands-ltd-for-tax-contribution/,Daily News,2026-06-22
2024-12-18,Govt highlights CRJE’s role in China-Tanzania ties,https://dailynews.co.tz/govt-highlights-crjes-role-in-china-tanzania-ties/,Daily News,2026-06-22
2024-12-18,"Yas, KADERES to empower coffee farmers in Kagera",https://dailynews.co.tz/yas-kaderes-to-empower-coffee-farmers-in-kagera/,Daily News,2026-06-22
2024-12-18,Bakhresa invests 20bn/- to double fruit juice production,https://dailynews.co.tz/bakhresa-invests-20bn-to-double-fruit-juice-production/,Daily News,2026-06-22
2024-12-18,"Dar, Muscat agree to eliminate double taxation",https://dailynews.co.tz/dar-muscat-agree-to-eliminate-double-taxation/,Daily News,2026-06-22
2024-12-18,TRA pledges to address taxpayers’ challenges,https://dailynews.co.tz/tra-pledges-to-address-taxpayers-challenges/,Daily News,2026-06-22
2024-12-18,"Tanzanian coffee supplier vanishes with $43,750 export payment",https://dailynews.co.tz/tanzanian-coffee-supplier-vanishes-with-43750-export-payment/,Daily News,2026-06-22
2024-12-17,Shivo Towers: A game-changer for Zanzibar’s property market,https://dailynews.co.tz/shivo-towers-a-game-changer-for-zanzibars-property-market/,Daily News,2026-06-22
