"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","2,425.00","2,435.00","2,435.00","2,405.00","","-0.82%"
"12/30/2024","2,445.00","2,415.00","2,470.00","2,415.00","","0.82%"
"12/27/2024","2,425.00","2,420.00","2,432.50","2,407.50","","1.46%"
"12/26/2024","2,390.00","2,390.00","2,390.00","2,390.00","","0.00%"
"12/25/2024","2,390.00","2,390.00","2,390.00","2,390.00","","-1.24%"
"12/24/2024","2,420.00","2,420.00","2,435.00","2,410.00","","0.52%"
"12/23/2024","2,407.50","2,395.00","2,425.00","2,380.00","","-0.31%"
"12/20/2024","2,415.00","2,375.00","2,415.00","2,360.00","","-0.21%"
"12/19/2024","2,420.00","2,320.00","2,425.00","2,320.00","","1.68%"
"12/18/2024","2,380.00","2,350.00","2,410.00","2,335.00","","1.06%"
"12/17/2024","2,355.00","2,320.00","2,360.00","2,317.50","","0.86%"
"12/16/2024","2,335.00","2,330.00","2,375.00","2,312.50","","0.21%"
"12/13/2024","2,330.00","2,330.00","2,365.00","2,330.00","","-1.06%"
"12/12/2024","2,355.00","2,375.00","2,400.00","2,355.00","","-2.69%"
"12/11/2024","2,420.00","2,460.00","2,460.00","2,375.00","","-2.42%"
"12/10/2024","2,480.00","2,590.00","2,590.00","2,490.00","","-4.25%"
"12/09/2024","2,590.00","2,590.00","2,590.00","2,590.00","","0.00%"
"12/06/2024","2,590.00","2,600.00","2,600.00","2,600.00","","-0.77%"
"12/05/2024","2,610.00","2,605.00","2,620.00","2,605.00","","-0.38%"
"12/04/2024","2,620.00","2,640.00","2,640.00","2,630.00","","-0.19%"
"12/03/2024","2,625.00","2,650.00","2,650.00","2,635.00","","-0.19%"
"12/02/2024","2,630.00","2,650.00","2,650.00","2,635.00","","0.00%"
"11/29/2024","2,630.00","2,650.00","2,650.00","2,640.00","","-0.19%"
"11/28/2024","2,635.00","2,650.00","2,650.00","2,640.00","","0.00%"
"11/27/2024","2,635.00","2,635.00","2,635.00","2,635.00","","0.00%"
"11/26/2024","2,635.00","2,650.00","2,655.00","2,645.00","","-0.19%"
"11/25/2024","2,640.00","2,650.00","2,655.00","2,650.00","","-0.38%"
"11/22/2024","2,650.00","2,650.00","2,662.00","2,650.00","","0.38%"
"11/21/2024","2,640.00","2,650.00","2,655.00","2,650.00","","0.00%"
"11/20/2024","2,640.00","2,660.00","2,660.00","2,650.00","","-0.38%"
"11/19/2024","2,650.00","2,660.00","2,660.00","2,660.00","","0.00%"
"11/18/2024","2,650.00","2,660.00","2,665.00","2,655.00","","0.00%"
"11/15/2024","2,650.00","2,660.00","2,660.00","2,655.00","","0.00%"
